name,C,exchangeCarbon
cpep,Phosphoenol pyruvate,3,True
cglcex,Extracellular Glucose,6,True
cg6p,Glucose-6-Phosphate,6,True
cpyr,Pyruvate,3,True
cf6p,Fructose-6-Phosphate,6,True
cg1p,Glucose-1-Phosphate,6,True
cpg,6-Phosphogluconate,6,True
cfdp,Fructose-1-6-bisphosphate,6,True
csed7p,sedoheptulose-7-phosphate,7,True
cgap,Glyceraldehyde-3-Phosphate,3,True
ce4p,Erythrose-4-phosphate,4,True
cxyl5p,Xylulose-5-phosphate,5,True
crib5p,Ribose-5-phosphate,5,True
cdhap,Dihydroxyacetonephosphate,3,True
cpgp,1-3-diphosphosphoglycerate,3,True
cpg3,3-Phosphoglycerate,3,True
cpg2,2-Phosphoglycerate,3,True
cribu5p,Ribulose-5-phosphate,5,True
