name,C,exchangeCarbon
species_1,GLC,6,True
species_2,G6P,6,True
species_3,ADP,0,False
species_4,ATP,0,False
species_5,F6P,6,True
species_6,F16P,6,True
species_7,E4P,4,True
species_8,PGN,6,True
species_9,GLC_e,6,False
species_10,NADP,0,False
species_11,NADPH,0,False
species_12,BPG,3,True
species_13,RU5P,5,True
species_14,X5P,5,True
species_15,R5P,5,True
species_16,GAP,3,True
species_17,S7P,7,True
species_18,NADH,0,False
species_19,NAD,0,False
species_20,AMP,0,False
species_21,PRPP,5,False
species_22,G1P,6,True
species_23,Pi,0,False
species_24,GLY,0,False
species_25,CIT,6,False
species_26,F26P,6,False
species_27,DHAP,3,True
species_28,PG3,3,True
species_29,PG2,3,True
species_30,PEP,3,True
species_31,PYR,3,True
species_32,LAC,3,False
species_33,CO2,1,False
species_34,O2,0,False
