name,C,exchangeCarbon
GLCi,Glucose in Cytosol,6,True
G6P,Glucose 6 Phosphate,6,True
F6P,Fructose 6 Phosphate,6,True
F16P,Fructose-1-6 bisphosphate,6,True
TRIO,Triose-phosphate,3,True
BPG,1-3-bisphosphoglycerate,3,True
P3G,3-phosphoglycerate,3,True
P2G,2-phosphoglycerate,3,True
PEP,Phosphoenolpyruvate,3,True
PYR,Pyruvate,3,True
ACE,Acetaldehyde,2,True
P,High energy phosphates,0,False
NAD,NAD,0,False
NADH,NADH,0,False
Glyc,Glycogen,6,False
Trh,Trehalose,12,False
CO2,CO2,1,False
SUCC,Succinate,4,False
GLCo,Extracellular Glucose,6,False
ETOH,Ethanol,2,False
GLY,Glycerol,3,False
ATP,ATP concentration,0,False
ADP,ADP concentration,0,False
AMP,AMP concentration,0,False
SUM_P,sum of AXP conc,0,False
F26BP,F2-6P,6,False
